Montana (PST) SNOTEL Site Hoodoo Basin - NRCS National Water and Climate Center ,,,,,,,,
,,,,,,,,
Site Id,Date,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
530,5/15/2008,54.7,62.2,4.1,6.9,2.4,4.5,125
530,5/16/2008,55.6,62.2,5.2,16.9,2.5,8.5,122
530,5/17/2008,55.3,62.2,7.4,20.9,4.3,11.6,119
530,5/18/2008,54.6,62.2,10.2,23.8,7.2,14.9,115
530,5/19/2008,53.2,62.2,12,18.7,8.7,13.6,111
530,5/20/2008,51.5,62.2,6.9,17.8,6.6,11.6,107
530,5/21/2008,50.4,62.5,2,16.8,1.8,8.4,105
530,5/22/2008,49.8,62.7,1.7,4.4,0.5,2,105
530,5/23/2008,49.3,63.2,1.7,4.2,1.6,2.7,105
530,5/24/2008,49.7,63.6,3,5.4,1.6,3.5,104
530,5/25/2008,48.9,63.8,3.3,8.9,2.2,5.3,103
530,5/26/2008,48.3,63.8,4.4,9.5,2.7,5.4,102
530,5/27/2008,47.5,63.9,4.4,11.8,3.7,6.6,100
530,5/28/2008,47,63.9,3.8,14.2,2.6,7.1,98
530,5/29/2008,46.4,64.4,4.8,17.3,3.1,7.6,96
530,5/30/2008,45.8,64.6,5.4,7.8,4.2,5.9,95
530,5/31/2008,44.6,64.7,4.4,12.2,4.3,7,93
530,6/1/2008,43.6,64.8,5.6,17.5,4.2,9.7,90
530,6/2/2008,42.3,64.8,4.1,13.4,3.9,7.6,87
530,6/3/2008,41.5,64.9,3.4,8.4,3.4,5.2,87
530,6/4/2008,41.1,65.1,3.2,11.2,2,5.8,86
530,6/5/2008,40.7,65.3,2.8,5.1,2.2,3.3,85
530,6/6/2008,40.3,65.5,1.7,9.2,1.7,4.9,84
530,6/7/2008,40.3,65.9,0.8,4.6,0.8,1.9,85
530,6/8/2008,40.4,66.4,1.7,3.1,0.3,1.6,86
530,6/9/2008,40.2,66.4,1.8,7.2,1.6,3.1,85
530,6/10/2008,40.3,66.9,3.4,8.8,1.6,4.4,85
530,6/11/2008,40.8,67.5,-0.8,4.1,-3.1,0.2,88
530,6/12/2008,41.2,68.3,1.6,3.9,-0.9,1.2,93
530,6/13/2008,40.9,68.3,4.3,7.4,1.3,3.7,89
530,6/14/2008,40.4,68.3,7.8,14.5,3.3,8.6,86
530,6/15/2008,40.2,68.3,4.2,15.1,4.1,8.8,83
530,6/16/2008,39.2,68.3,5.9,18,3,9.7,81
530,6/17/2008,37.9,68.3,7.4,19.6,4.7,11.9,78
